MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
384.52,C23H16N2S2,384.52,N#Cc1c(SCc2ccccc2)nc(cc1-c1cccs1)-c1ccccc1,ChemDiv SC,4478,,,2-(benzylsulfanyl)-6-phenyl-4-(thiophen-2-yl)pyridine-3-carbonitrile,MFCD02025094,3759384
348.41,C20H20N4O2,348.41,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccncc1,ChemDiv SC,8020,,,"propan-2-yl 2-methyl-4-(pyridin-4-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,4026689
363.42,C21H21N3O3,363.42,CC(C)OC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(O)c1,ChemDiv SC,8525,,,"propan-2-yl 4-(3-hydroxyphenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,4040957
343.43,C22H21N3O,343.43,OC(Cn1c2ccccc2n(Cc2ccccc2)c1=N)c1ccccc1,ChemDiv SC,3260,,,"2-(3-benzyl-2-imino-2,3-dihydro-1H-benzimidazol-1-yl)-1-phenylethan-1-ol",MFCD01832535,4389914
343.43,C21H21N5,343.43,Cc1cccc(c1)-c1nnn2c1nc(NC1CCCC1)c1ccccc21,ChemDiv SC,0,,,"N-cyclopentyl-3-(3-methylphenyl)[1,2,3]triazolo[1,5-a]quinazolin-5-amine",,5506559
422.33,C21H20BrN5,422.33,Brc1cccc(c1)-c1nnn2c1nc(NC1CCCCC1)c1ccccc21,ChemDiv SC,0,,,"3-(3-bromophenyl)-N-cyclohexyl[1,2,3]triazolo[1,5-a]quinazolin-5-amine",,5507433
484.19,C22H16Br2N2O,484.19,COc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(Br)cc1)-c1ccc(Br)cc1,ChemDiv SC,8001,,,"4,5-bis(4-bromophenyl)-2-(4-methoxyphenyl)-1H-imidazole",,6157488
348.42,C19H16N4OS,348.42,COc1ccc(Nc2nc(SC)nc(-c3ccccc3)c2C#N)cc1,ChemDiv SC,0,,,4-(4-methoxyanilino)-2-(methylsulfanyl)-6-phenylpyrimidine-5-carbonitrile,MFCD08568140,6261097
394.29,C19H12BrN3S,394.29,Brc1csc(c1)-c1cc(nc(n1)-c1ccccc1)-c1ccncc1,ChemDiv SC,8017,,,4-(4-bromothiophen-2-yl)-2-phenyl-6-(pyridin-4-yl)pyrimidine,,6820840
303.38,C18H13N3S,303.38,Nc1nsc2nc(cc(-c3ccccc3)c12)-c1ccccc1,ChemDiv SC,8018,,,"4,6-diphenyl[1,2]thiazolo[5,4-b]pyridin-3-amine",MFCD00408513,9877504
367.47,C20H21N3O2S,367.47,CCCCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccs1,ChemDiv SC,8018,,,"butyl 2-methyl-4-(thiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,9989150
